epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,1718.52,0.8905,0.62877,0.95899,0.7394,0.82767,0.86832,0.57192,1.06471,0.69136,1.0413,0.0008272,0.0008272,0.0008272
110,1734.18,0.8877,0.64562,0.95778,0.84378,0.73614,0.86199,0.56744,1.06989,0.68548,1.03867,0.0008256,0.0008256,0.0008256
111,1749.65,0.86718,0.63701,0.94943,0.82927,0.76315,0.87117,0.57253,1.0578,0.6745,1.03291,0.000824,0.000824,0.000824
112,1765.1,0.87282,0.62203,0.95263,0.81505,0.76671,0.86571,0.5654,1.07061,0.67583,1.0355,0.0008224,0.0008224,0.0008224
113,1780.65,0.86581,0.61261,0.95084,0.7616,0.80544,0.8567,0.5601,1.07084,0.69693,1.04135,0.0008208,0.0008208,0.0008208
114,1796.13,0.87158,0.63185,0.9551,0.80785,0.77356,0.86428,0.57248,1.05388,0.68202,1.03546,0.0008192,0.0008192,0.0008192
115,1811.56,0.88749,0.63159,0.94824,0.79016,0.7933,0.8576,0.56856,1.07023,0.69617,1.04372,0.0008176,0.0008176,0.0008176
116,1827.15,0.86319,0.62256,0.95573,0.81915,0.77198,0.86091,0.57399,1.05142,0.68477,1.0303,0.000816,0.000816,0.000816
117,1842.55,0.87741,0.61904,0.95543,0.79845,0.76484,0.85065,0.55861,1.08081,0.69956,1.05655,0.0008144,0.0008144,0.0008144
118,1858.01,0.86845,0.61747,0.95472,0.79134,0.77627,0.85632,0.56493,1.0624,0.7118,1.03478,0.0008128,0.0008128,0.0008128
119,1873.5,0.87513,0.62947,0.95307,0.78507,0.79649,0.86645,0.56958,1.06303,0.70025,1.03372,0.0008112,0.0008112,0.0008112
120,1888.91,0.85601,0.61353,0.95206,0.79208,0.79019,0.85246,0.56109,1.06316,0.70171,1.03506,0.0008096,0.0008096,0.0008096
121,1904.51,0.88776,0.6287,0.94975,0.80944,0.78437,0.86797,0.57227,1.07311,0.67974,1.04047,0.000808,0.000808,0.000808
122,1919.94,0.86275,0.61729,0.94735,0.79968,0.78137,0.85996,0.56521,1.05558,0.69479,1.02803,0.0008064,0.0008064,0.0008064
123,40097.4,0.86139,0.60531,0.94087,0.80233,0.79308,0.86263,0.56902,1.07381,0.68994,1.03951,0.0008048,0.0008048,0.0008048
124,40115.1,0.84239,0.59226,0.94191,0.775,0.78037,0.8519,0.5591,1.0839,0.70934,1.04293,0.0008032,0.0008032,0.0008032
125,40130.9,0.86279,0.62379,0.95144,0.78338,0.79442,0.86362,0.56833,1.06357,0.6891,1.03952,0.0008016,0.0008016,0.0008016
126,40146.6,0.8532,0.60942,0.94994,0.78252,0.78913,0.8556,0.56717,1.05825,0.70378,1.03962,0.0008,0.0008,0.0008
127,40162.7,0.83845,0.6116,0.94762,0.77092,0.80821,0.85102,0.56366,1.05492,0.71305,1.02948,0.0007984,0.0007984,0.0007984
128,40178.7,0.85937,0.61294,0.9434,0.78165,0.80267,0.85224,0.55554,1.06433,0.70341,1.03327,0.0007968,0.0007968,0.0007968
129,40194.6,0.85289,0.60713,0.94912,0.78907,0.79894,0.86379,0.56469,1.05886,0.68365,1.03345,0.0007952,0.0007952,0.0007952
130,40210.4,0.86038,0.59326,0.94971,0.78198,0.77486,0.85112,0.55938,1.06324,0.69471,1.04141,0.0007936,0.0007936,0.0007936
131,40226.2,0.83235,0.59633,0.94848,0.76345,0.81218,0.86299,0.56557,1.05747,0.69667,1.04375,0.000792,0.000792,0.000792
132,40242.8,0.84484,0.59282,0.93702,0.78875,0.79074,0.8601,0.57133,1.04631,0.68837,1.03709,0.0007904,0.0007904,0.0007904
133,40259.3,0.82917,0.59237,0.94311,0.7588,0.81986,0.86447,0.5756,1.04528,0.67622,1.03042,0.0007888,0.0007888,0.0007888
134,40275.7,0.84885,0.60534,0.94473,0.80103,0.76858,0.86104,0.56735,1.06016,0.68772,1.04357,0.0007872,0.0007872,0.0007872
135,40291.5,0.84329,0.5912,0.94444,0.81068,0.77974,0.86543,0.57019,1.04945,0.6734,1.04603,0.0007856,0.0007856,0.0007856
136,40307.3,0.8623,0.59474,0.94491,0.77088,0.80708,0.86069,0.56791,1.06083,0.68433,1.04743,0.000784,0.000784,0.000784
137,40323,0.84189,0.58787,0.94645,0.76352,0.81277,0.84948,0.5635,1.05876,0.70315,1.03907,0.0007824,0.0007824,0.0007824
138,40340.3,0.85556,0.59686,0.93684,0.75412,0.81207,0.85977,0.56335,1.06525,0.69806,1.0493,0.0007808,0.0007808,0.0007808
139,40356.4,0.83913,0.59406,0.93918,0.78622,0.78532,0.86117,0.57149,1.05449,0.69373,1.03623,0.0007792,0.0007792,0.0007792
140,40372.4,0.83387,0.58259,0.93532,0.7987,0.77208,0.85898,0.56451,1.06134,0.69347,1.04607,0.0007776,0.0007776,0.0007776
141,40388.3,0.83201,0.5816,0.94181,0.80212,0.78653,0.86048,0.56486,1.06036,0.69354,1.04307,0.000776,0.000776,0.000776
142,40404.3,0.85024,0.59471,0.93955,0.76944,0.8084,0.86138,0.56958,1.06027,0.67833,1.04747,0.0007744,0.0007744,0.0007744
143,40420.3,0.82796,0.57443,0.93339,0.77208,0.81609,0.87276,0.58076,1.05497,0.65964,1.03574,0.0007728,0.0007728,0.0007728
144,40437.3,0.81013,0.57675,0.93286,0.7768,0.80569,0.86045,0.57439,1.04444,0.6762,1.03115,0.0007712,0.0007712,0.0007712
145,40454.6,0.84575,0.59467,0.94085,0.81537,0.7737,0.86154,0.56819,1.04729,0.67661,1.04048,0.0007696,0.0007696,0.0007696
146,40471,0.82708,0.58704,0.94361,0.79777,0.79276,0.85654,0.56418,1.06335,0.68769,1.04173,0.000768,0.000768,0.000768
147,40486.9,0.8373,0.59398,0.93669,0.78126,0.79292,0.86759,0.56624,1.06199,0.68709,1.0484,0.0007664,0.0007664,0.0007664
148,40503.8,0.82076,0.59326,0.94253,0.78881,0.78998,0.86591,0.57806,1.03737,0.66793,1.03666,0.0007648,0.0007648,0.0007648
