epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1443.49,1.25002,1.05111,1.27716,0.77711,0.76868,0.84342,0.54668,1.17891,0.90148,1.3502,0.003664,0.003664,0.003664
66,1464.44,1.19174,0.99348,1.26126,0.8192,0.72226,0.83894,0.54988,1.13232,0.8751,1.31472,0.003565,0.003565,0.003565
67,1485.37,1.20938,0.99734,1.25546,0.78084,0.8245,0.87656,0.56089,1.12064,0.79844,1.32393,0.003466,0.003466,0.003466
68,1506.35,1.21975,1.00085,1.26665,0.80453,0.78191,0.8491,0.54335,1.14236,0.90973,1.31218,0.003367,0.003367,0.003367
69,1527.6,1.22098,0.96781,1.24418,0.7864,0.76608,0.83479,0.55226,1.11473,0.86955,1.28686,0.003268,0.003268,0.003268
70,1548.63,1.19127,0.98119,1.2523,0.83076,0.8094,0.86283,0.57226,1.10876,0.83422,1.30067,0.003169,0.003169,0.003169
71,1569.73,1.19958,0.95798,1.25077,0.76985,0.82018,0.86478,0.56706,1.11683,0.83115,1.29975,0.00307,0.00307,0.00307
72,1590.73,1.20296,0.9656,1.24962,0.82118,0.77896,0.87476,0.55778,1.17717,0.8367,1.35558,0.002971,0.002971,0.002971
73,1611.69,1.19422,0.96536,1.24374,0.78205,0.79043,0.85901,0.54297,1.18935,0.80743,1.3315,0.002872,0.002872,0.002872
74,1632.81,1.186,0.9662,1.25135,0.79841,0.80542,0.87848,0.57752,1.12439,0.80086,1.31747,0.002773,0.002773,0.002773
75,1653.75,1.16672,0.94447,1.23828,0.83178,0.79633,0.88052,0.56043,1.1873,0.80285,1.34452,0.002674,0.002674,0.002674
76,1674.72,1.15776,0.92392,1.22909,0.7273,0.81772,0.85769,0.5679,1.12662,0.8442,1.29708,0.002575,0.002575,0.002575
77,1695.74,1.19114,0.9463,1.24623,0.78712,0.83762,0.87392,0.58141,1.12242,0.75826,1.31236,0.002476,0.002476,0.002476
78,1716.74,1.16508,0.92813,1.23288,0.77352,0.76276,0.85028,0.562,1.10466,0.86025,1.30205,0.002377,0.002377,0.002377
79,1737.62,1.1694,0.92989,1.23516,0.85971,0.7897,0.87569,0.5735,1.09557,0.78669,1.2747,0.002278,0.002278,0.002278
80,1758.71,1.17786,0.92709,1.2331,0.82622,0.80327,0.88095,0.5825,1.11643,0.76236,1.29531,0.002179,0.002179,0.002179
81,1779.62,1.16751,0.91737,1.23258,0.87792,0.80926,0.88645,0.57513,1.11663,0.76143,1.31054,0.00208,0.00208,0.00208
82,1800.63,1.15128,0.91067,1.22534,0.86252,0.81208,0.88475,0.58266,1.08443,0.72939,1.27502,0.001981,0.001981,0.001981
83,1821.8,1.15519,0.89401,1.21667,0.82569,0.81324,0.89026,0.58851,1.08916,0.72476,1.28058,0.001882,0.001882,0.001882
84,1842.77,1.14638,0.88293,1.21544,0.83782,0.79364,0.88206,0.57631,1.07072,0.77278,1.26199,0.001783,0.001783,0.001783
85,1863.81,1.14576,0.89532,1.21373,0.86521,0.80003,0.89705,0.61384,1.04264,0.72203,1.25891,0.001684,0.001684,0.001684
86,1884.88,1.13227,0.87072,1.20862,0.85605,0.82291,0.90241,0.58579,1.09211,0.73789,1.31685,0.001585,0.001585,0.001585
87,1906.04,1.11816,0.86939,1.20998,0.8249,0.80272,0.88614,0.60771,1.04575,0.73682,1.25123,0.001486,0.001486,0.001486
88,1927.04,1.12665,0.88284,1.19975,0.80562,0.81155,0.88843,0.6087,1.04098,0.74422,1.23809,0.001387,0.001387,0.001387
89,1947.86,1.1231,0.8619,1.19353,0.82997,0.80382,0.88602,0.59275,1.0607,0.71596,1.26552,0.001288,0.001288,0.001288
90,1968.86,1.10929,0.85417,1.19973,0.82202,0.83892,0.89254,0.60569,1.03891,0.71714,1.2543,0.001189,0.001189,0.001189
91,2030.6,1.07613,0.75881,1.19656,0.85439,0.85328,0.90566,0.61727,1.03015,0.68591,1.23236,0.00109,0.00109,0.00109
92,2053,1.08155,0.76512,1.18218,0.8315,0.83827,0.88916,0.59852,1.05531,0.7158,1.24651,0.000991,0.000991,0.000991
93,2074.34,1.06269,0.73374,1.17249,0.82323,0.82725,0.8837,0.59295,1.05629,0.72579,1.25993,0.000892,0.000892,0.000892
94,2095.25,1.0546,0.75397,1.16562,0.85361,0.83667,0.89942,0.60083,1.04169,0.70018,1.26099,0.000793,0.000793,0.000793
95,2116.24,1.03053,0.6988,1.15522,0.85052,0.84506,0.89306,0.60676,1.02206,0.68992,1.23028,0.000694,0.000694,0.000694
96,2137.26,1.03658,0.7114,1.15686,0.82484,0.82713,0.88638,0.60819,1.01312,0.70309,1.23559,0.000595,0.000595,0.000595
97,2158.28,1.05417,0.70131,1.16779,0.84816,0.82527,0.89244,0.60396,1.02966,0.68389,1.24861,0.000496,0.000496,0.000496
98,2179.39,1.0173,0.68095,1.15853,0.85635,0.80773,0.89614,0.60809,1.02472,0.68783,1.23054,0.000397,0.000397,0.000397
99,2200.37,1.02208,0.68351,1.15982,0.81938,0.8311,0.88893,0.60603,1.0177,0.68265,1.22656,0.000298,0.000298,0.000298
100,2221.2,1.01245,0.68075,1.17015,0.80965,0.85594,0.89264,0.61138,1.01575,0.68365,1.23188,0.000199,0.000199,0.000199
